api_no,stratum,lat,lng,s2_baseline_ndvi,s2_recent_ndvi,s2_ndvi_relative,naip_ndvi_pad,naip_ndvi_bg,naip_ndvi_delta,naip_score,fill_inner,fill_outer
34019214400000,A_disturbed,40.649764,-81.281143,0.600329,0.275696,-0.540758,-0.0,0.003,-0.003,0,1.0,1.0
34019228450000,A_disturbed,40.518345,-81.183471,0.754728,0.37795,-0.499223,0.012,-0.013,0.025,0,1.0,1.0
34019228460000,A_disturbed,40.5184,-81.183468,0.754627,0.377903,-0.499218,0.01,-0.013,0.023,0,1.0,1.0
34019228440000,A_disturbed,40.51829,-81.183474,0.754745,0.379149,-0.497646,0.007,-0.012,0.019,0,1.0,1.0
34019213070000,A_disturbed,40.489402,-81.251429,0.702408,0.354314,-0.495572,0.067,0.062,0.005,0,1.0,1.0
34019228470000,A_disturbed,40.518235,-81.183477,0.754622,0.381279,-0.494742,0.004,-0.01,0.014,0,1.0,1.0
34019218400000,A_disturbed,40.686571,-81.222694,0.532065,0.279493,-0.474702,0.106,0.045,0.061,0,1.0,1.0
34019213850000,A_disturbed,40.661914,-81.209938,0.7859,0.445062,-0.433691,0.082,0.204,-0.122,40,1.0,1.0
34019208810000,A_disturbed,40.517999,-81.18233,0.753587,0.428591,-0.431266,0.322,0.293,0.029,0,1.0,1.0
34019213060000,A_disturbed,40.658596,-81.210218,0.755233,0.458211,-0.393285,0.091,0.054,0.038,0,1.0,1.0
34019224280000,B_low_recent,40.469511,-81.005356,0.196228,0.178397,,0.028,0.058,-0.03,0,1.0,1.0
34019224450000,B_low_recent,40.469485,-81.005267,0.198642,0.180885,,0.03,0.034,-0.003,0,1.0,1.0
34019222570000,B_low_recent,40.469551,-81.005305,0.199401,0.181351,,0.033,0.05,-0.017,0,1.0,1.0
34019606280000,B_low_recent,40.468999,-81.005264,0.202147,0.184835,,0.089,0.144,-0.055,15,1.0,1.0
34019224460000,B_low_recent,40.469523,-81.005216,0.210269,0.192927,,0.033,0.03,0.003,0,1.0,1.0
34019222560000,B_low_recent,40.469592,-81.005254,0.212697,0.194891,,0.034,0.05,-0.016,0,1.0,1.0
34019222550000,B_low_recent,40.469563,-81.005165,0.227722,0.211283,,0.031,0.029,0.002,0,1.0,1.0
34019221590000,B_low_recent,40.459486,-81.00882,0.245729,0.244634,,0.035,0.052,-0.017,0,1.0,1.0
34019221580000,B_low_recent,40.459418,-81.008857,0.246848,0.245709,,0.03,0.035,-0.005,0,1.0,1.0
34019222630000,B_low_recent,40.459525,-81.008873,0.248153,0.247462,,0.035,0.052,-0.017,0,1.0,1.0
34019224520000,C_random,40.608204,-81.061814,0.499056,0.508928,0.0197814,0.034,0.055,-0.021,0,1.0,1.0
34019226170000,C_random,40.71971,-81.03491,0.593964,0.505973,-0.148142,-0.021,-0.02,-0.001,0,1.0,1.0
34019205940000,C_random,40.649285,-81.254408,0.763077,0.709622,-0.0700525,0.294,0.266,0.028,0,1.0,1.0
34019208600000,C_random,40.64654,-81.229447,0.75157,0.661385,-0.119996,0.362,0.369,-0.008,0,1.0,1.0
34019226460000,C_random,40.534861,-80.988138,0.594114,0.515161,-0.132892,0.056,0.053,0.003,0,1.0,1.0
34019219270000,C_random,40.607958,-81.317702,0.781319,0.72752,-0.0688561,0.357,0.404,-0.047,0,1.0,1.0
34019204890000,C_random,40.643923,-81.268852,0.809279,0.762609,-0.0576691,0.519,0.447,0.072,0,1.0,1.0
34019605510000,C_random,40.467168,-80.960458,0.771269,0.645473,-0.163103,0.341,0.312,0.029,0,1.0,1.0
34019225680000,C_random,40.495737,-81.059641,0.606736,0.572456,-0.0564978,0.049,0.047,0.002,0,1.0,1.0
34019210640000,C_random,40.546011,-81.219562,0.802844,0.790789,-0.0150147,0.419,0.418,0.001,0,1.0,1.0
