api_no,lat,lng,slope_well_3dep,slope_bg_3dep,ratio_3dep,flat_3dep,score_3dep,slope_well_osip,slope_bg_osip,ratio_osip,flat_osip,score_osip,fill_inner,fill_outer
34073622160000,39.474318,-82.237955,16.438,14.897,1.103,False,0,16.88,16.135,1.046,False,0,1.0,1.0
34073617820000,39.431727,-82.375253,8.527,9.952,0.857,False,0,10.013,11.463,0.874,False,0,1.0,1.0
34073607020000,39.550756,-82.506252,3.102,8.834,0.351,True,70,4.677,10.149,0.461,False,40,1.0,1.0
34073606270000,39.591583,-82.528914,3.53,6.082,0.58,False,40,6.238,7.778,0.802,False,0,1.0,1.0
34073230940000,39.454301,-82.442152,10.52,10.689,0.984,False,0,10.943,12.16,0.9,False,0,1.0,1.0
34073217380000,39.44004,-82.471602,9.931,9.422,1.054,False,0,11.944,10.562,1.131,False,0,1.0,1.0
34073604790000,39.583933,-82.267792,6.015,9.641,0.624,False,15,7.91,11.084,0.714,False,15,1.0,1.0
34073222690000,39.37244,-82.520715,11.728,11.007,1.066,False,0,12.953,12.109,1.07,False,0,1.0,1.0
34073228480000,39.562136,-82.364206,10.228,11.875,0.861,False,0,12.182,13.094,0.93,False,0,1.0,1.0
34073619160000,39.55957,-82.230911,17.175,15.76,1.09,False,0,18.533,17.087,1.085,False,0,1.0,1.0
34073231700000,39.516196,-82.2319,12.815,13.489,0.95,False,0,13.448,14.573,0.923,False,0,1.0,1.0
34073619930000,39.535441,-82.174301,16.065,15.705,1.023,False,0,16.65,16.819,0.99,False,0,1.0,1.0
34073626020000,39.51211,-82.622351,16.475,13.36,1.233,False,0,16.961,13.909,1.219,False,0,1.0,1.0
34073603020000,39.576341,-82.308641,7.921,7.385,1.073,False,0,8.986,8.433,1.065,False,0,1.0,1.0
34073213350000,39.432061,-82.557437,9.892,13.391,0.739,False,15,10.412,14.263,0.73,False,15,1.0,1.0
34073218300000,39.426271,-82.296321,6.76,7.98,0.847,False,0,7.763,9.559,0.812,False,0,1.0,1.0
34073619540000,39.552975,-82.245261,16.181,12.729,1.271,False,0,16.996,13.594,1.25,False,0,1.0,1.0
34073228630000,39.459789,-82.370035,11.9,13.311,0.894,False,0,13.561,14.475,0.937,False,0,1.0,1.0
34073610570000,39.529092,-82.318138,12.427,11.093,1.12,False,0,14.142,12.056,1.173,False,0,1.0,1.0
34073205090000,39.428155,-82.415108,9.909,10.384,0.954,False,0,10.82,11.636,0.93,False,0,1.0,1.0
34073622220000,39.544803,-82.209389,13.709,13.749,0.997,False,0,15.129,14.93,1.013,False,0,1.0,1.0
34073611630000,39.499579,-82.570914,7.51,8.722,0.861,False,0,8.345,9.496,0.879,False,0,1.0,1.0
34073606460000,39.582392,-82.508083,4.7,9.807,0.479,False,40,6.367,11.247,0.566,False,40,1.0,1.0
34073227180000,39.536496,-82.169421,11.871,12.268,0.968,False,0,14.234,13.485,1.055,False,0,1.0,1.0
34073231480000,39.468311,-82.316354,3.113,4.587,0.679,False,15,4.304,5.696,0.756,False,15,1.0,1.0
34073228610000,39.561444,-82.359064,9.998,11.362,0.88,False,0,10.899,12.609,0.864,False,0,1.0,1.0
34073231530000,39.552325,-82.466897,1.405,4.899,0.287,True,70,1.903,5.879,0.324,True,70,1.0,1.0
34073601870000,39.574031,-82.343273,7.0,8.379,0.836,False,0,7.596,9.462,0.803,False,0,1.0,1.0
34073229030000,39.552946,-82.318473,13.266,11.767,1.127,False,0,15.328,12.708,1.206,False,0,1.0,1.0
34073227900000,39.51395,-82.240593,17.408,15.074,1.155,False,0,18.415,16.414,1.122,False,0,1.0,1.0
